type,temp_f_mean,temp_f_max,temp_f_min,temp_f_std,humidity_mean,humidity_max,humidity_min,humidity_std
bike,62.947,78.9,54.18,5.032,73.248,89.716,50.472,7.755
walk,58.169,68.97,53.38,3.06,71.954,82.717,59.957,5.547
