state,year,co2_emissions,energy_consumption,energy_production,renewable_consumption,solar_permits,solar_kw_total,median_aqi,max_aqi,unhealthy_days,good_days,clean_energy_ratio,emission_intensity,flag
PA,2019,40764.0,3794359.0,9611946.0,881339.0,,,,,,,0.2323,0.0107,No flag
PA,2020,34681.0,3389382.0,9472245.0,836781.0,,,,,,,0.2469,0.0102,No flag
PA,2021,38013.0,3615526.0,10128880.0,860671.0,,,,,,,0.238,0.0105,No flag
PA,2022,37543.0,3738924.0,9957413.0,887693.0,,,,,,,0.2374,0.01,No flag
PA,2023,37266.0,3607506.0,10101804.0,800273.0,,,,,,,0.2218,0.0103,No flag
RI,2019,3329.0,187842.0,6330.0,59935.0,,,,,,,0.3191,0.0177,No flag
RI,2020,2807.0,172609.0,7974.0,57437.0,,,,,,,0.3328,0.0163,No flag
RI,2021,3070.0,183459.0,7803.0,61293.0,,,,,,,0.3341,0.0167,No flag
RI,2022,3144.0,188272.0,8605.0,62004.0,,,,,,,0.3293,0.0167,No flag
RI,2023,3160.0,182950.0,8863.0,59501.0,,,,,,,0.3252,0.0173,No flag
SC,2019,23291.0,1621169.0,712780.0,358891.0,,,,,,,0.2214,0.0144,No flag
SC,2020,20582.0,1507922.0,700528.0,348166.0,,,,,,,0.2309,0.0136,No flag
SC,2021,22817.0,1604086.0,686639.0,362390.0,,,,,,,0.2259,0.0142,No flag
SC,2022,22490.0,1628035.0,696855.0,374952.0,,,,,,,0.2303,0.0138,No flag
SC,2023,23121.0,1603946.0,705705.0,352680.0,,,,,,,0.2199,0.0144,No flag
SD,2019,4046.0,351091.0,212913.0,52605.0,,,,,,,0.1498,0.0115,No flag
SD,2020,3930.0,338987.0,206783.0,46335.0,,,,,,,0.1367,0.0116,No flag
SD,2021,4283.0,348360.0,236219.0,44413.0,,,,,,,0.1275,0.0123,No flag
SD,2022,4256.0,353862.0,240104.0,49302.0,,,,,,,0.1393,0.012,No flag
SD,2023,4216.0,347163.0,235952.0,47294.0,,,,,,,0.1362,0.0121,No flag
TN,2019,27409.0,2093393.0,511513.0,491758.0,,,,,,,0.2349,0.0131,No flag
TN,2020,25793.0,1940366.0,516059.0,456211.0,,,,,,,0.2351,0.0133,No flag
TN,2021,27913.0,2100903.0,496742.0,493365.0,,,,,,,0.2348,0.0133,No flag
TN,2022,28139.0,2106213.0,480374.0,505446.0,,,,,,,0.24,0.0134,No flag
TN,2023,28827.0,2058049.0,501599.0,473736.0,,,,,,,0.2302,0.014,No flag
TX,2019,127573.0,13722915.0,23155595.0,1583315.0,,,,,,,0.1154,0.0093,No flag
TX,2020,110979.0,12981013.0,23255708.0,1536649.0,5.0,42.55,,,,,0.1184,0.0085,No flag
TX,2021,123346.0,13720661.0,23319024.0,1513524.0,30.0,361.46500000000003,,,,,0.1103,0.009,No flag
TX,2022,127474.0,13829881.0,25117353.0,1639902.0,190.0,4031.676999999996,,,,,0.1186,0.0092,Solar growth but high emissions
TX,2023,129321.0,14137451.0,27104730.0,1565304.0,86.0,1625.4416666666655,,,,,0.1107,0.0091,Solar growth but high emissions
US,2019,1206278.0,96564778.0,97756234.0,19598900.0,,,,,,,0.203,0.0125,No flag
US,2020,1049544.0,88857658.0,91966617.0,18821048.0,,,,,,,0.2118,0.0118,No flag
US,2021,1154953.0,93350300.0,94003919.0,19034772.0,,,,,,,0.2039,0.0124,No flag
US,2022,1162680.0,94831564.0,98533806.0,19571291.0,,,,,,,0.2064,0.0123,No flag
US,2023,1178966.0,93557489.0,102670531.0,18354872.0,,,,,,,0.1962,0.0126,No flag
UT,2019,10854.0,833570.0,858600.0,179740.0,,,,,,,0.2156,0.013,No flag
UT,2020,10112.0,803893.0,761548.0,182177.0,,,,,,,0.2266,0.0126,No flag
UT,2021,10155.0,822925.0,768056.0,181169.0,,,,,,,0.2202,0.0123,No flag
UT,2022,9392.0,851390.0,819356.0,192612.0,,,,,,,0.2262,0.011,No flag
UT,2023,9723.0,853951.0,825655.0,195256.0,,,,,,,0.2287,0.0114,No flag
VA,2019,34479.0,2422690.0,868410.0,556330.0,,,,,,,0.2296,0.0142,No flag
VA,2020,30828.0,2239523.0,811707.0,539882.0,,,,,,,0.2411,0.0138,No flag
VA,2021,33804.0,2388988.0,828734.0,553304.0,,,,,,,0.2316,0.0141,No flag
VA,2022,32680.0,2449868.0,826347.0,558266.0,,,,,,,0.2279,0.0133,No flag
VA,2023,35151.0,2435265.0,834458.0,509635.0,,,,,,,0.2093,0.0144,No flag
VT,2019,2503.0,132716.0,29977.0,46355.0,,,,,,,0.3493,0.0189,No flag
VT,2020,2064.0,112635.0,18276.0,34085.0,,,,,,,0.3026,0.0183,No flag
VT,2021,2296.0,115518.0,18921.0,33605.0,,,,,,,0.2909,0.0199,No flag
